lock_a,!=,<,>,lock_b,jobs
mcs,True,True,False,backoff-1000-8000,1
mcs,True,False,True,backoff-1000-8000,2
mcs,True,False,True,backoff-1000-8000,4
mcs,True,False,True,backoff-1000-8000,6
mcs,True,False,True,backoff-1000-8000,8
mcs,True,False,True,backoff-1000-8000,10
mcs,True,True,False,tas,1
mcs,True,False,True,tas,2
mcs,True,True,False,tas,4
mcs,True,True,False,tas,6
mcs,True,True,False,tas,8
mcs,True,True,False,tas,10
mcs,True,True,False,ttas,1
mcs,True,False,True,ttas,2
mcs,True,True,False,ttas,4
mcs,True,True,False,ttas,6
mcs,True,True,False,ttas,8
mcs,True,True,False,ttas,10
tas,True,False,True,alog,1
tas,True,True,False,alog,2
tas,True,False,True,alog,4
tas,True,False,True,alog,6
tas,True,False,True,alog,8
tas,True,False,True,alog,10
tas,True,True,False,aq,1
tas,True,True,False,aq,2
tas,True,False,True,aq,4
tas,True,False,True,aq,6
tas,True,False,True,aq,8
tas,True,False,True,aq,10
tas,True,False,True,atomic,1
tas,True,False,True,atomic,2
tas,True,False,True,atomic,4
tas,True,False,True,atomic,6
tas,True,False,True,atomic,8
tas,True,False,True,atomic,10
tas,True,False,True,backoff-1000-8000,1
tas,True,False,True,backoff-1000-8000,2
tas,True,False,True,backoff-1000-8000,4
tas,True,False,True,backoff-1000-8000,6
tas,True,False,True,backoff-1000-8000,8
tas,True,False,True,backoff-1000-8000,10
tas,True,False,True,mcs,1
tas,True,True,False,mcs,2
tas,True,False,True,mcs,4
tas,True,False,True,mcs,6
tas,True,False,True,mcs,8
tas,True,False,True,mcs,10
tas,True,True,False,ttas,1
tas,True,False,True,ttas,2
tas,True,False,True,ttas,4
tas,True,False,True,ttas,6
tas,True,False,True,ttas,8
tas,True,False,True,ttas,10
ttas,True,False,True,alog,1
ttas,True,True,False,alog,2
ttas,True,False,True,alog,4
ttas,True,False,True,alog,6
ttas,True,False,True,alog,8
ttas,True,True,False,alog,10
ttas,True,False,True,aq,1
ttas,True,True,False,aq,2
ttas,True,False,True,aq,4
ttas,True,False,True,aq,6
ttas,True,False,True,aq,8
ttas,True,False,True,aq,10
ttas,True,False,True,atomic,1
ttas,True,False,True,atomic,2
ttas,True,False,True,atomic,4
ttas,True,False,True,atomic,6
ttas,True,False,True,atomic,8
ttas,True,False,True,atomic,10
ttas,True,False,True,backoff-1000-8000,1
ttas,True,False,True,backoff-1000-8000,2
ttas,True,False,True,backoff-1000-8000,4
ttas,True,False,True,backoff-1000-8000,6
ttas,True,False,True,backoff-1000-8000,8
ttas,True,False,True,backoff-1000-8000,10
ttas,True,False,True,mcs,1
ttas,True,True,False,mcs,2
ttas,True,False,True,mcs,4
ttas,True,False,True,mcs,6
ttas,True,False,True,mcs,8
ttas,True,False,True,mcs,10
ttas,True,False,True,tas,1
ttas,True,True,False,tas,2
ttas,True,True,False,tas,4
ttas,True,True,False,tas,6
ttas,True,True,False,tas,8
ttas,True,True,False,tas,10

