1,2,4,8,10
14.51,7.21,5.85,5.89,5.95
14.14,7.15,5.99,5.99,5.96
14.07,7.50,5.81,6.01,5.99
14.32,7.41,5.83,5.95,5.96
14.30,7.35,6.01,6.00,5.96
14.11,7.52,5.90,5.90,5.98
14.19,7.61,5.83,5.87,6.13
14.17,7.53,5.92,6.11,6.09
14.31,7.48,5.89,6.11,5.95
14.19,7.42,5.90,6.03,5.92
